Russian,English
парень,guy
снова,again
говорит,is talking
место,a place
отсюда,here
можем,can
будешь,will
пошли,gone
делаешь,do
совсем,all
говорил,spoke
понимаю,I see
завтра,tomorrow
хочет,wants
простите,sorry
разве,really
давайте,let's
хотите,want to
отлично,fine
сказала,He said
туда,there
прямо,straight
времени,time
вами,you
лишь,only
своей,his
хватит,enough
думал,thought
можете,can
дом,house
дела,affairs
знать,know
дай,give
понял,I understood
помочь,help
говорить,talk
слушай,hear
свои,their
поэтому,so
прости,sorry
знает,He knows
именно,exactly
знал,I knew
тем,the
кого,whom
смотри,look
каждый,each
ваш,your
похоже,seem to be
найти,to find
моего,my
наш,our
мать,mother
одна,one
имя,name
про,about
говорю,I say
будут,will
оно,it
свой,his
нельзя,must not
извините,excuse me
стоит,costs
действительно,really
зовут,call
поговорить,talk
доктор,doctor
перед,front
несколько,several
нужен,need
происходит,is
ко,to
господи,Jesus
возьми,take
мою,my
тех,those
нами,us
вижу,I see
должно,must
наверное,probably
откуда,from whence
понимаешь,know
верно,right
скоро,soon
уж,really
деле,actually
твои,yours
пусть,let
всю,all
хотела,I wanted
при,at
более,more
ребята,guys
нее,she
быстро,fast
подожди,wait
идти,go
надеюсь,hope
чём,than
работу,work
видеть,see
такая,this
этих,these
уверен,sure
нужна,need
года,of the year
раньше,before
такие,such
руки,arms
видишь,see
какая,what
посмотри,look
сын,a son
самом,the
ваша,your
послушай,Listen
равно,equally
наши,our
другой,other
ага,aha
мир,world
извини,sorry
минут,minutes
против,vs
твоей,your
пор,then
жить,live
ж,Well
жаль,sorry
вообще,at all
могли,could
хотя,although
человека,man
пора,time to
ради,for
говорят,they say
почти,nearly
твою,your
могут,can
над,above
весь,all
первый,first
чёрт,heck
слышал,I heard
собой,yourself
брат,brother
вещи,things
дня,day
скажу,I tell
говоришь,tell
нормально,fine
своего,his
мое,my
ваше,your
итак,so
будь,whether
ночь,night
хоть,though
ясно,clear
плохо,badly
дверь,a door
вопрос,question
господин,Mr.
давно,long
денег,money
ваши,your
ка,ka
мисс,Ms.
одну,one
глаза,eyes
пять,five
будто,allegedly
между,between
пойду,go
опять,again
работа,Job
самое,most
иногда,sometimes
детей,children
этому,the
рад,glad
здорово,awesome
бог,the God
одного,one
ночи,night
готов,ready
номер,number
которая,which
машину,car
любовь,love
дорогая,expensive
виду,mind
одно,one
прекрасно,perfectly
вон,out
своих,own
быстрее,faster
отца,father
женщина,woman
достаточно,enough
рядом,nearby
убить,kill
таким,this
пойдем,let's go to
смерти,of death
дети,children
такого,this
правильно,right
месте,place
никаких,any
сказали,told
здравствуйте,Hello
пару,pair
две,two
видела,seen
долго,long
хороший,good
ах,Oh
кроме,Besides
алло,Hello
нашей,our
прав,rights
вчера,yesterday
вечером,in the evening
жена,wife
миссис,Mrs.
чтоб,to
друга,friend
нужны,need
кем,by whom
какие,what kind
те,those
увидеть,see
утро,morning
смогу,I can
неё,it
сама,itself
моему,my
большой,large
сразу,at once
работать,work
сердце,heart
стал,I became
своим,his
сначала,at first
могла,could
вроде,like
ними,them
говори,tell
голову,head
дальше,further
помнишь,remember
либо,or
ума,crazy
одной,one
вечер,evening
случае,case
взять,take
проблемы,Problems
помощь,help
добрый,kind
год,year
думала,thought
делает,makes
скорее,rather
слова,the words
капитан,captain
последний,last
важно,important
дней,days
помню,I remember
ночью,at night
утром,morning
моих,my
произошло,happened
которую,which
боюсь,I'm afraid
также,also
вашей,your
ой,Oh
стой,avast
твоего,your
никого,no one
дорогой,expensive
убил,killed
насчет,about
друзья,friends
самый,most
проблема,problem
видели,We have seen
вперед,forward
дерьмо,shit
понятно,understandably
чувствую,I feel
наша,our
будете,will
тому,that
имею,I have
вернуться,return
придется,have to
пришел,I came
спать,sleep
стать,become
столько,so many
говорила,I told
пойти,go
иначе,otherwise
работает,works
девушка,girl
час,hour
момент,moment
моим,my
умер,died
думаете,think
доброе,good
слово,word
новый,new
часов,hours
мире,world
знаем,we know
твое,your
мальчик,boy
однажды,one day
интересно,interesting
конец,end
играть,play
a,a
заткнись,Shut up
сделали,done
посмотреть,look
идет,is
узнать,discover
свое,his
права,the rights
хорошая,good
город,city
джон,John
долларов,dollars
парни,guys
идем,go
говорите,tell
уйти,escape
понять,understand
знала,I knew
поздно,late
нашли,found
работы,work
скажите,tell
сделаю,make
увидимся,I'll see you
какого,of
другие,other
идея,idea
пошел,I went to
доме,house
дочь,daughter
имеет,It has
приятно,pleasantly
лицо,face
наших,our
обо,about
понимаете,know
руку,hand
часть,part
смотрите,look
вся,all
собираюсь,I am going
четыре,four
прежде,before
хотят,want
скажешь,tell
чувак,dude
дайте,give
сделала,done
кофе,coffee
джек,Jack
верю,trust
ждать,wait
затем,then
большое,great
сами,themselves
неужели,really
моё,my
любит,loves
мужчина,the man
дать,to give
господа,gentlemen
таких,such
осталось,left
которой,which
далеко,long away
вернусь,I come back
сильно,strong
ох,Oh
сможешь,can
кому,whom
вашего,your his
посмотрим,we'll see
машина,car
подождите,Wait
свет,shine
чуть,slightly
серьезно,Really
пришли,came
оружие,weapon
решил,I decided
смысле,sense
видите,see
тихо,quiet
нашел,found
свидания,goodbye
путь,way
той,that
совершенно,completely
следующий,following
которого,whom
места,seats
парня,Man
вдруг,suddenly
пути,ways
мадам,madam
какое,what
шанс,chance
сестра,sister
нашего,our
ужасно,terribly
минуту,minute
вокруг,around
другом,other
иду,I go
других,other
хотели,like to
нем,it
смерть,death
подумал,thought
фильм,movie
оставь,leave
делаете,You do
уверена,confident
кровь,blood
говорили,said
внимание,Attention
помогите,Help
идите,go
держи,hold
получить,get
оба,both
взял,I took
спокойно,quietly
обычно,usually
мало,few
забыл,I forgot
странно,strangely
смотреть,look
поехали,go
дал,I give
часа,hours
прекрати,stop
посмотрите,look
готовы,ready
вернулся,I returned
поверить,to believe
позже,later
милая,Pretty
женщины,women
любишь,love
довольно,pretty
обратно,back
остаться,stay
думать,think
та,that
стороны,sides
полиция,police
тело,body
тысяч,thousand
делал,done
машины,cars
угодно,anything
муж,husband
году,year
неплохо,not bad
бога,god
некоторые,some
конце,end of the
милый,nice
the,the
рождения,birth
трудно,difficult
добро,good
любви,love
больно,painfully
невозможно,impossible
спокойной,calm
слышишь,hear
типа,type
получил,received
которое,which
приятель,friend
хуже,worse
никому,to nobody
честь,honour
успокойся,calm down
вашу,your
маленький,small
выглядит,looks
чарли,Charlie
сына,son
неделю,week
i,i
девочка,girl
делаю,I do
шесть,six
ноги,legs
история,history
рассказать,tell
послушайте,look here
часто,often
кстати,by the way
двух,two
забудь,forget
которых,which
следует,must be
знают,know
пришла,came
семья,a family
станет,will
матери,mother
ребенок,child
план,plan
проблем,issues
например,eg
сделай,Do It
воды,water
немедленно,immediately
мира,world
сэм,Sam
телефон,telephone
перестань,stop doing that
правду,the truth
второй,second
прощения,forgiveness
ту,the
наше,is our
уходи,go away
твоих,your
помоги,help
пол,floor
внутри,within
нему,it
смог,smog
десять,ten
нашу,our
около,near
бывает,it happens
самого,himself
большая,greater
леди,lady
сможем,can
вниз,down
легко,easy
делай,do
единственный,only
рада,glad
меньше,less
волнуйся,worry
хотим,we want
полагаю,I think
мам,moms
иметь,have
своими,his
мере,least
наконец,finally
начала,beginning
минутку,moment
работе,the
пожаловать,grant
другого,another
двое,two
никакого,no
честно,fair
школе,school
лучший,best
умереть,die
дам,ladies
насколько,to what extent
всей,all
малыш,kid
оставить,retain
безопасности,security
ненавижу,hate
школу,school
осторожно,Caution
сынок,son
джо,Joe
таки,nevertheless
пытался,tried to
другое,other
б,b
клянусь,I swear
машине,car
недели,of the week
стало,It was
истории,stories
пришлось,I had
выглядишь,are looking
чему,which
сможет,will be able
купить,buy
слышала,heard
знали,knew
настоящий,present
сих,now
выйти,go out
людям,people
замечательно,wonderful
полиции,the police
огонь,Fire
пойдём,let's go to
спросить,ask
дядя,uncle
детка,baby
среди,among
особенно,special
твоим,your
комнате,room
шоу,show
выпить,drink up
постоянно,constantly
делают,make
позвольте,let me
родители,parents
письмо,letter
городе,town
случай,happening
месяцев,months
мужик,muzhik
благодарю,thank
o,o
ребенка,child
смешно,funny
ответ,answer
города,cities
образом,manner
любой,any
полностью,fully
увидел,had seen
еду,food
имени,behalf
вместо,instead
абсолютно,absolutely
обязательно,necessarily
улице,street
твоё,your
убили,killed
ваших,your
ехать,go
крови,blood
решение,decision
вина,wine
поможет,will help
своё,his
секунду,give me a sec
обещаю,promise
начать,to begin
голос,vote
вещь,thing
друзей,friends
показать,show
нечего,there is nothing
э,e
месяц,month
подарок,gift
приехал,I arrived
самая,the most
молодец,well done
сделаем,will do
крайней,extreme
женщин,women
собираешься,going
конца,the end of
страшно,scary
новости,news
идиот,moron
потерял,I lost
спасти,to rescue
вернуть,return
узнал,I learned
слушайте,hear
хотелось,I wanted
сон,sleep
поняла,I understood
прошло,gone
комнату,room
семь,seven
погоди,wait a minute
главное,the main thing
рано,early
корабль,ship
пытаюсь,I try
игра,a game
умерла,dead
повезло,lucky
всему,around
возьму,take
таком,that
моем,my
глаз,eye
настолько,so
идём,go
удачи,good luck
готова,ready
семьи,families
садись,sit down
гарри,Harry
держись,hold on
звучит,sounds
мило,nicely
война,war
человеком,man
право,right
такую,this
вопросы,questions
представить,imagine
работаю,working
имеешь,you have
красивая,beautiful
идёт,goes
никакой,no
профессор,Professor
думает,thinks
войны,war
стала,became
стали,become
оттуда,thence
известно,it is known
слышу,hear
начал,began
подумать,think
позвонить,call
старый,old
придётся,have to
историю,history
вести,lead
твоему,thy
последнее,last thing
хочется,I want to
миллионов,millions
нашла,found
способ,way of
отношения,relations
земле,land
фрэнк,Frank
получится,succeed
говоря,speaking
связи,communication
многие,many
пошёл,I went to
пистолет,pistol
убью,kill
руках,hands
получилось,happened
президент,the president
остановить,stop
тьi,ti
оставил,leave
одним,a
you,you
утра,morning
боль,pain
хорошие,good
пришёл,I came
открой,open
брось,drop it
вставай,wakey
находится,is
поговорим,talk
кино,movie
людьми,people
полицию,police
покажу,show
волосы,hair
последние,recent
брата,brother
месяца,of the month
